Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-05-01,1421.6,713624000,23179524919,8924.718,76.3,15.92,-1.5997241242862639,-1.5728785465923014,-1.197851836494945,-1.1236976410622348,-0.9995451310111131,713.624,2317.9524919
2017-05-02,1452.82,477337984,23691443738,8924.718,77.26,15.9,-1.5906715194637409,-1.563462249265699,-1.1981838750122373,-1.119860532756219,-1.0335769964603485,477.337984,2369.1443738
2017-05-03,1490.09,583795968,24301634925,8924.718,79.72,21.04,-1.5798810982542064,-1.552221205019624,-1.1128499760681427,-1.110027942722053,-1.0182440374946988,583.795968,2430.1634925
2017-05-04,1537.67,933548992,25080858487,8924.718,96.98,23.39,-1.5661015638566151,-1.5378705507339185,-1.0738354502863097,-1.0410399329701419,-0.9678697154982959,933.548992,2508.0858487
2017-05-05,1555.45,946035968,25373374563,8924.718,94.4,26.27,-1.56092880532151,-1.5325079060680957,-1.0260219037962333,-1.0513521615425598,-0.9660712379823864,946.035968,2537.3374563
2017-05-06,1578.8,582529984,25757608890,8924.718,97.81,28.16,-1.5541341312589823,-1.5254652877921138,-0.9946442639121207,-1.0377224330805657,-1.0184263749765279,582.529984,2575.760889
2017-05-07,1596.71,1080029952,26053077975,8924.718,94.01,30.29,-1.548909152679366,-1.5200634336883518,-0.9592821618205016,-1.0529109867918787,-0.9467723166509818,1080.029952,2605.3077975
2017-05-08,1723.35,1340320000,28123369330,8924.718,91.42,28.96,-1.5122987980514362,-1.4818674089144606,-0.9813627232204327,-1.063263185242484,-0.9092831920668548,1340.32,2812.336933
2017-05-09,1755.36,1167920000,28649119972,8924.718,91.16,33.58,-1.5030015957987215,-1.4722128388496132,-0.9046618257259352,-1.0643024020753635,-0.934113665332984,1167.92,2864.9119972
2017-05-10,1787.13,915723008,29170965564,8924.718,89.52,31.96,-1.4937734491719188,-1.4626306554394226,-0.9315569456266031,-1.0708574620981406,-0.9704371610850386,915.723008,2917.0965564
