Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-06-06,2863.2,2089609984,46888622160,8924.718,264.47,30.55,-1.1811658363874549,-1.1524501942604757,-0.967010996600671,-0.6526458820548234,-0.739191120311667,2089.609984,4688.862216
2017-06-07,2732.16,1517709952,44748237218,8924.718,258.07,28.39,-1.2175897536226987,-1.1900788135807396,-0.9991895834787461,-0.6772108066071608,-0.8853935150957941,1517.709952,4474.8237218
2017-06-08,2805.62,1281170048,45957247989,8924.718,261.67,30.21,-1.1970154600013496,-1.1689845036351765,-0.9720761445351829,-0.663393036546471,-0.9458633498427303,1281.170048,4595.7247989
2017-06-09,2823.81,1348950016,46260465854,8924.718,281.74,29.68,-1.1918554618149078,-1.1637611780442454,-0.9799718163154513,-0.5863589684581257,-0.9285358571245773,1348.950016,4626.0465854
2017-06-10,2947.71,2018889984,48295501718,8924.718,337.67,30.44,-1.1572243184039348,-1.1281828360587394,-0.9686497209324247,-0.37168455748746526,-0.7572702124267264,2018.889984,4829.5501718
2017-06-11,2958.11,1752400000,48471330146,8924.718,340.61,33.22,-1.154232164991058,-1.1251964376999881,-0.9272346878208281,-0.3604000452712353,-0.8253965835873137,1752.4,4847.1330146
2017-06-12,2659.63,2569530112,43585351533,8924.718,401.49,29.5,-1.2373791153927882,-1.2109060705961452,-0.9826533652219575,-0.1267262004671265,-0.6165027690392809,2569.530112,4358.5351533
2017-06-13,2717.02,1781200000,44530631894,8924.718,397.54,30.64,-1.2212928437331712,-1.194426320422229,-0.9656702221474178,-0.14188736483927214,-0.8180340573866107,1781.2,4453.0631894
2017-06-14,2506.37,1696560000,41082567339,8924.718,359.05,30.22,-1.27997014775856,-1.2549152448713563,-0.9719271695959324,-0.2896223564048134,-0.8396717038320101,1696.56,4108.2567339
2017-06-15,2464.58,2026259968,40402259202,8924.718,361.93,30.22,-1.2915472649351538,-1.2669153975071457,-0.9719271695959324,-0.2785681403562616,-0.7553861256107972,2026.259968,4040.2259202
2017-06-16,2518.56,1195190016,41291821423,8924.718,370.23,35.7,-1.2764091745489323,-1.2514148414104742,-0.8902889028867417,-0.24671050382744908,-0.9678435664516637,1195.190016,4129.1821423
2017-06-17,2655.88,1534509952,43548031452,8924.718,379.41,47.65,-1.2380142084150212,-1.2119828969274256,-0.7122638504825759,-0.2114751901726902,-0.881098708145384,1534.509952,4354.8031452
2017-06-18,2548.29,1178659968,41788418974,8924.718,371.46,46.04,-1.2679583451014278,-1.2428777622560825,-0.7362488157018818,-0.2419894323900469,-0.9720693619898191,1178.659968,4178.8418974
2017-06-19,2589.6,1446840064,42470734800,8924.718,370.06,50.32,-1.256347062155614,-1.231015443390697,-0.672487541702733,-0.2473630096358706,-0.903510925069436,1446.840064,4247.07348
2017-06-20,2721.79,1854189952,44643512689,8924.718,359.01,47.22,-1.2193718992087312,-1.1930565973288405,-0.7186697728703408,-0.2897758871832656,-0.7993746673175812,1854.189952,4464.3512689
2017-06-21,2689.1,1626579968,44111929173,8924.718,336.87,47.79,-1.228418100950513,-1.2024436514007224,-0.710178201333071,-0.37475517305650746,-0.8575616281072195,1626.579968,4411.1929173
2017-06-22,2705.41,1097939968,44384244937,8924.718,336.37,47.71,-1.223783978062076,-1.1977601747438735,-0.7113700008470737,-0.3766743077871588,-0.992704886813456,1097.939968,4438.4244937
2017-06-23,2744.91,961318976,45037797053,8924.718,341.74,47.34,-1.212662180428862,-1.1864176040543861,-0.7168820735993365,-0.3560628007799633,-1.0276311240761653,961.318976,4503.7797053
2017-06-24,2608.72,982750016,42807952581,8924.718,323.7,44.49,-1.250608471725278,-1.2255250648696088,-0.7593399312856858,-0.42530518186186417,-1.0221524229126824,982.750016,4280.7952581
2017-06-25,2589.41,1161100032,42495001716,8924.718,303.25,43.92,-1.2559341008594498,-1.231070002591482,-0.7678315028229556,-0.5037977923455045,-0.9765584414649118,1161.100032,4249.5001716
2017-06-26,2478.45,1663280000,40677994354,8924.718,272.69,41.13,-1.2868549527448472,-1.2629325758498497,-0.8093955108738027,-0.6210953070829153,-0.8481795118861557,1663.28,4067.7994354
2017-06-27,2552.45,1489789952,41897190525,8924.718,293.09,40.54,-1.26610732947642,-1.2416832029125822,-0.8181850322895733,-0.5427946100723401,-0.8925310752181422,1489.789952,4189.7190525
2017-06-28,2574.79,1183869952,42268942193,8924.718,327.93,42.85,-1.2597810599715322,-1.2352681895150341,-0.7837718213227428,-0.40906930204055364,-0.9707374646389426,1183.869952,4226.8942193
2017-06-29,2539.32,949979008,41690395783,8924.718,302.88,41.07,-1.2696264509295234,-1.2454535308405055,-0.8102893605093048,-0.5052179520461865,-1.0305301105871074,949.979008,4169.0395783
2017-06-30,2480.84,860273024,40735082695,8924.718,294.92,40.35,-1.285883454129398,-1.2622462785347135,-0.8210155561353298,-0.535770576958156,-1.0534628417523797,860.273024,4073.5082695
2017-07-01,2434.55,779913984,39980058373,8924.718,274.6,38.99,-1.2987320510688938,-1.2755386227680394,-0.8412761478733772,-0.613764212411827,-1.0740060895809678,779.913984,3998.0058373
